title;singer;album;producer;distributor;year_month;is_popular;external_factors;num_times_top_10;num_times_top_5;num_times_top_1;is_collab;spotify_uri;album_type;release_date;duration_ms;explicit;acousticness;danceability;energy;instrumentalness;liveness;loudness;speechiness;valence;tempo;singer_id;is_ost;for_reality_tvshow
언제나;huh gak;언제나;stone music entertainment;stone music entertainment;201011-201012;1;0;1;1;1;False;2MJrd5HfNuebro5g5SdaeY;single;2011-06-10;230832;False;0.516;0.326;0.6709999999999999;0.0;0.11699999999999999;-5.7379999999999995;0.0367;0.401;158.287;49vOeJAPxAz6YmVZPNM7ys;0;0
언제나 타인 (with 선우정아);toy-sep-sunwoojunga;da capo;안테나뮤직;stone music entertainment;201411;0;0;0;0;0;True;4xRzwwsRO4KlV9rwbZynGe;album;2014-11-18;280478;False;0.38799999999999996;0.35600000000000004;0.589;0.01;0.121;-8.9;0.042;0.33299999999999996;177.755;7sS12h1hMwOqXiB5vYdlu8-sep-04L3elxyr0XFua2Ek3domW;0;0
언제라도 어디에서라도;jung seung hwan;언제라도 어디에서라도;안테나뮤직;카카오 m;202008;0;0;0;0;0;False;2zyYgnZsfzUDcaBdsBzAYj;single;2020-06-17;245360;False;0.609;0.28;0.479;0.0;0.113;-4.545;0.0302;0.22;147.546;7l8rOFwZFQ3G0sgZ7gjGng;0;0
언제쯤이면 (duet.아이유);yoon hyun sang;피아노포르테 (pianoforte);로엔트리;카카오 m;201411;1;0;0;0;0;True;0AAZ3I1xQZBfLwqkCWb87e;single;2014-10-31;258510;False;0.737;0.537;0.276;0.0;0.278;-7.936;0.0383;0.22699999999999998;127.314;390z2RITWBFLpD6HTC5UV2;0;0
얼굴 찌푸리지 말아요;highlight;can you feel it?;어라운드 어스;카카오 m;201703-201704-201705;1;0;2;1;0;False;7pNNnrmd3pBIsQTenWExLy;single;2017-03-20;196508;False;0.16;0.5870000000000001;0.8740000000000001;0.0;0.15;-2.461;0.0613;0.752;150.037;3T0fMfxYBU3q9oAUAdPIsr;0;0
얼음꽃;ailee;야왕 ost part 2;제이엔제이엔터테인먼트&아이진뮤직;카카오 m;201302;1;1;0;0;0;False;57AD1sn9p0s5XhLOxllzE3;single;2013-01-28;213760;False;0.6809999999999999;0.39899999999999997;0.449;0.0;0.107;-5.377999999999999;0.032;0.122;139.464;3uGFTJ7JMllvhgGpumieHF;1;0
얼음꽃 (feat. 김세황);iu&kim yuna;얼음꽃;카카오 m;카카오 m;201106;1;0;0;0;0;True;3n7kzEOybmHwLMGLKzayaq;single;2011-06-21;214282;False;0.0947;0.442;0.866;0.0;0.32;-2.37;0.0894;0.5539999999999999;176.074;2u8OscJGEkF8CyyY3RBpXe;0;0
얼음들;akmu;play;yg entertainment;지니뮤직;201404;1;0;1;0;0;False;0fXl8VsWUiIdJN0YDGey24;album;2014-04-07;235555;False;0.8320000000000001;0.387;0.361;0.0;0.10300000000000001;-5.827999999999999;0.0311;0.16699999999999998;122.74;6OwKE9Ez6ALxpTaKcT5ayv;0;0
엄마 용돈 좀 보내주세요;jang beom june;장범준 3집;버스커버스커;카카오 m;201903;0;0;0;0;0;False;5GUFri8VhIfV9FqT85AzxV;album;2019-03-21;260228;False;0.0626;0.6679999999999999;0.82;0.0;0.142;-3.283;0.0431;0.7829999999999999;120.02799999999999;529ZdRwFoSKtQ0LPwKxGiu;0;0
없어;choiza;traveler;아메바컬쳐;카카오 m;201304;0;0;0;0;0;False;4kag6aMln0iDUio8axM77F;single;2013-04-01;285361;False;0.46399999999999997;0.606;0.611;0.000152;0.127;-9.779;0.177;0.444;160.053;3vvgBPro7lDMdReL1Ct2Hx;0;0
없어 (feat. 이루펀트);younha-sep-eluphant;subsonic;wealive, stone music entertainment;stone music entertainment;201312;1;0;0;0;0;True;7nkTkAUYMyYxGYctGonMip;single;2013-12-06;209016;False;0.304;0.596;0.713;0.0;0.18100000000000002;-5.56;0.0452;0.312;121.99799999999999;6GwM5CHqhWXzG3l5kzRSAS-sep-59YukrTVTiGNpuhyw3v4dB;0;0
엉덩이 (feat. 박재범);gary;2002;리쌍컴퍼니;카카오 m;201510;0;0;0;0;0;True;0TOPJh8eJ5gUq2cmUCr2Lz;album;2015-09-21;228169;False;0.449;0.6759999999999999;0.878;0.0;0.0832;-5.252000000000001;0.0875;0.672;145.004;5myBH2YqzOgyWoTKCsydAi;0;0
에너제틱 (energetic);wanna one;1x1=1(to be one);ymc엔터테인먼트, stone music entertainment;stone music entertainment;201708-201709;1;0;2;1;0;False;3CEs5Jnov3YkmYn0Vezrcr;single;2017-08-08;189355;False;0.057999999999999996;0.7140000000000001;0.8859999999999999;0.0;0.11199999999999999;-3.076;0.0461;0.752;125.046;2CvaqAMMsX576VBehaJ0Wx;0;0
에너제틱 (energetic) (prequel remix);wanna one;1-1=0 (nothing without you);ymc엔터테인먼트, stone music entertainment;stone music entertainment;201711;0;0;0;0;0;False;4zDsgkTLNv6j3kQ0asJfrF;album;2017-11-13;255628;False;0.0115;0.722;0.8270000000000001;0.0;0.6679999999999999;-3.892;0.0626;0.509;125.03;2CvaqAMMsX576VBehaJ0Wx;0;0
에라 모르겠다;bigbang;made;yg plus;지니뮤직;201612-201701-201702-201703;1;0;2;1;1;False;7uzib3dSSwgUwcD3z0k3bR;album;2016-12-13;231810;False;0.152;0.72;0.746;0.0;0.276;-3.1430000000000002;0.107;0.5870000000000001;90.02600000000001;4Kxlr1PRlDKEB0ekOCyHgX;0;0
에잇 (prod.&feat. suga of bts);iu-sep-suga;에잇;edam엔터테인먼트;카카오 m;202005-202006-202007-202008;1;0;4;2;2;True;0pYacDCZuRhcrwGUA5nTBe;single;2020-05-06;167573;False;0.115;0.6759999999999999;0.8690000000000001;0.0;0.132;-1.5730000000000002;0.0423;0.594;120.029;3HqSLMAZ3g3d5poNaI7GOU-sep-0ebNdVaOfp6N0oZ1guIxM8;0;0
에코;에브리 싱글 데이 every single day;너의 목소리가 들려 ost part 1;sbs 콘텐츠허브;지니뮤직;201307;0;0;0;0;0;False;2HZNi2dOev8sGWXjNhLmFm;album;2015-11-26;232653;False;0.10400000000000001;0.48;0.655;0.00028900000000000003;0.125;-6.909;0.0435;0.239;127.936;7LH6LwoaiX3wyK5LhzBdtZ;1;0
여기까지;kwon jinah love sam kim;love antenna;안테나뮤직;지니뮤직;201607;0;0;0;0;0;True;2wujxMwIMLmnlXoQ08obtb;single;2016-07-18;231629;False;0.18600000000000003;0.67;0.406;0.0;0.0748;-6.261;0.0671;0.14;113.49;6MM5NSUJjTmXbG5StAbH5a;0;0
여러분 (윤복희);lim jae bum;`나는 가수다` 경연 3-2 (네티즌 추천곡);아이엠비씨;카카오 m;201105;1;0;0;0;0;False;6SfdXcscciiLi0QWZkuBpU;compilation;2011-05-22;373701;False;0.591;0.204;0.293;0.0;0.655;-10.3;0.0342;0.13699999999999998;73.634;7cYFopPCh8aSpBHANLgLaV;0;1
여름 안에서 (covered by 싹쓰리) (feat. 황광희);ssak3-sep-kwang hee hwang;여름 안에서 (covered by 싹쓰리);mbc;카카오 m;202007-202008;1;0;2;0;0;True;1MELIJNsr1KyHJOJufbheK;single;2020-07-11;281016;False;0.0227;0.723;0.914;3.09e-05;0.287;-4.821000000000001;0.0568;0.863;105.988;2el9LgZHLeQnXHABBkgb7M-sep-2aU36OPcjBFlI8lkXrnxxE;0;0
여름밤에 우린;standing egg;여름밤에 우린;본(born);카카오 m;201608;1;0;1;1;0;False;1zCRu6ONQa4FCADwoZnHuI;single;2016-08-03;206013;False;0.805;0.7090000000000001;0.29;0.0;0.17;-11.092;0.0322;0.614;90.046;6a3Mfrn2XBR1DfPg1QGa1d;0;0
여름밤의 꿈;iu;꽃갈피;로엔트리;카카오 m;201405;1;0;0;0;0;False;08IZihEWj0fhBgF19DeZBj;album;2014-05-16;237061;False;0.95;0.49;0.0878;0.0;0.154;-14.414000000000001;0.0386;0.213;141.486;3HqSLMAZ3g3d5poNaI7GOU;0;0
여름여름해 (sunny summer);gfriend;summer mini album `sunny summer`;쏘스뮤직;카카오 m;201808;1;0;0;0;0;False;7IE8eERSpTC9Jaw3arl99B;album;2018-07-19;198536;False;0.0491;0.728;0.925;0.0;0.313;-1.7409999999999999;0.0862;0.88;129.984;0qlWcS66ohOIi0M8JZwPft;0;0
여보세요;nu'est;여보세요;플레디스;카카오 m;201302-201707-201708-201710-201711;0;0;0;0;0;False;5wFlQLNGFRZIlkJNf4bTAf;single;2013-02-13;210733;False;0.302;0.546;0.6579999999999999;0.0;0.22399999999999998;-5.422000000000001;0.0996;0.43200000000000005;95.84100000000001;1iQfn1B8V25iQoolQakyAZ;0;0
여수 밤바다;busker busker;버스커 버스커 1집;stone music entertainment;stone music entertainment;201204-201205;1;0;1;1;0;False;0jyFdJsPFkj7zzoXzW0vMD;album;2012-03-29;279909;False;0.348;0.239;0.498;7.83e-06;0.0958;-6.182;0.042;0.22699999999999998;199.192;6jgrgDBt1SbtNbc25sLaTH;0;0
여자 대통령;girl's day;여자 대통령;드림티 엔터테인먼트;카카오 m;201307;1;0;1;0;0;False;0cFGAeKZriFUSwg1b0CIY7;album;2013-06-24;212640;False;0.0572;0.769;0.914;2.17e-06;0.29;-1.244;0.0436;0.5329999999999999;109.969;13kJgvU22LHMsJtGWLmx7W;0;0
여자라서;iu;로드넘버원 ost part 3;더그루브엔터테인먼트;카카오 m;201007;1;0;0;0;0;False;31NlmLWJkhBqNdZKTW9Sws;album;2010-08-04;209084;False;0.731;0.5770000000000001;0.563;0.0;0.10800000000000001;-5.371;0.0323;0.203;130.016;3HqSLMAZ3g3d5poNaI7GOU;1;0
여자친구;ha eun-sep-요셉;여자친구;인디안레이블, 메이저나인;지니뮤직;201903;1;0;0;0;0;True;7sesu8e9LIdAiP3pZpo8qY;single;2019-03-07;194320;False;0.581;0.6659999999999999;0.598;0.0;0.136;-4.668;0.0322;0.36200000000000004;130.048;7BYHne6KtWNlbJnjZwLLRW-sep-2vAttwKn3MBAKe3rE4ndr8;0;0
