title;singer;album;producer;distributor;is_popular;num_times_top_10;num_times_top_5;num_times_top_1;is_collab;spotify_uri;album_type;duration_ms;explicit;acousticness;danceability;energy;instrumentalness;liveness;loudness;speechiness;valence;tempo;singer_id;is_ost;for_reality_tvshow;times_in_chart;first_time_in_chart_date;first_time_in_chart_year;first_time_in_chart_month;first_time_in_chart_quarter;first_time_in_chart_period
zombie;day6;the book of us _ the demon;jyp entertainment;dreamus;0;0;0;0;False;4s0dJmVknlUl7V6oK3puzZ;album;209259;False;0.0117;0.79;0.542;0.0;0.0818;-4.119;0.0438;0.527;121.98200000000001;5TnQc2N1iKlFjYD7CPGvFc;0;0;1;2020-06-01;2020;6;2;summer
\ & only (won & only) (feat. 박재범);simon dominic;\ & only;aomg;카카오 m;0;0;0;0;True;6WbsZWuHAwF0TfKWTWIU1k;single;230894;False;0.264;0.522;0.746;0.0;0.385;-5.595;0.14;0.898;94.73200000000001;57W9ikVc6O2wLDtmclSjvN;0;0;1;2015-08-01;2015;8;3;summer
all of my life;park won;0m;메이크어스엔터테인먼트;카카오 m;1;0;0;0;False;3XEjswcSomkIsgbuNunFmQ;single;249279;False;0.877;0.499;0.27399999999999997;0.0;0.11;-7.53;0.0349;0.125;67.817;1XujSdsxykPhP3dn6HaT4l;0;0;6;2017-09-01;2017;9;3;other
flex (prod. by 기리보이);giriboy-sep-kid milli-sep-no:el-sep-swings;dingo x indigo music;인디고뮤직, 딩고뮤직;카카오 m;1;0;0;0;True;3tKtU9UOlNChXisFihGQ2G;single;226198;False;0.177;0.871;0.7859999999999999;0.0;0.0548;-2.28;0.0846;0.948;146.938;2MtHuR0W2idZdF7x4wddqq-sep-7IWshUcKfJyDWrbiF2XT8J-sep-3S79khDmqHqH3SudDjO6dV-sep-6F5tPDq3TIduDv2ki6O1Oq;0;0;1;2018-10-01;2018;10;4;other
highfive;dynamicduo-sep-primary-sep-boi b-sep-crush;highfive;아메바컬쳐;카카오 m;0;0;0;0;True;6pnn1CdUNjy2iEXr5wouyr;single;241586;False;0.091;0.624;0.86;0.0;0.195;-3.0610000000000004;0.317;0.361;156.005;4nvFFLtv7ZqoTr83387uK4-sep-4QDcs3XrA8uHUZ7Xt9Ytep-sep-7MJnvH71CgBGCN9obN4aY5-sep-6aLdhHUqgdKE86xbtNmY8g;0;0;2;2016-07-01;2016;7;3;summer
illa illa (일라 일라);juniel;my first june;f&c music, stone music entertainment;stone music entertainment;1;2;0;0;False;6oAjIsATA9fZPwMnkcfa6S;single;216163;False;0.18600000000000005;0.535;0.795;0.0;0.107;-2.2569999999999997;0.0391;0.588;158.019;0F8gvxccUYPndXVsyLmCi6;0;0;2;2012-07-01;2012;7;3;summer
instagram;dean;instagram;joombas co ltd & universal music;universal music;1;1;1;0;False;6z1kLsntE7FuzKZHZWrXYN;single;255728;False;0.196;0.46299999999999997;0.5660000000000001;0.0;0.284;-6.195;0.145;0.21899999999999997;93.921;3eCd0TZrBPm2n9cDG6yWfF;0;0;3;2018-01-01;2018;1;1;holiday
lovelovelove;yerin baek;every letter i sent you.;블루바이닐;dreamus;0;0;0;0;False;1tvqgg77oOpIN9Shpk3bT4;album;274763;False;0.925;0.39399999999999996;0.308;0.0;0.10400000000000001;-9.902000000000001;0.0391;0.379;85.749;6dhfy4ByARPJdPtMyrUYJK;0;0;1;2019-12-01;2019;12;4;holiday
make her dance (feat. loopy & crush);simon dominic-sep-loopy-sep-crush;make her dance;aomg;지니뮤직, stone music entertainment;0;0;0;0;True;4h1b1HhnLSJONqufstNLjh;single;170840;False;0.16;0.8370000000000001;0.693;0.0;0.0693;-4.546;0.0484;0.36200000000000004;102.986;57W9ikVc6O2wLDtmclSjvN-sep-3l9s67pOK4Stw9yW1wr0Bg-sep-6aLdhHUqgdKE86xbtNmY8g;0;0;2;2019-08-01;2019;8;3;summer
moneyflow (다 비켜봐);song min-ho-sep-paloalto-sep-zico;쇼미더머니 4 episode 3;stone music entertainment;stone music entertainment;1;0;0;0;True;44673Rco6EaaSWbrsAeaM3;single;198040;False;0.0326;0.743;0.892;0.0;0.47700000000000004;-3.1319999999999997;0.256;0.5670000000000001;115.11200000000001;4wZCiC4nZ8bkrVaSlNKNPv-sep-2Yv0nlRtzgPl6u0dsS2hFv-sep-4XpUIb8uuNlIWVKmgKZXC0;0;1;1;2015-08-01;2015;8;3;summer
puzzle;c jamm-sep-bewhy;puzzle;린치핀뮤직;카카오 m;1;1;0;0;True;3kJjYTtOQPiVSr1UNEqM0u;single;261920;False;0.0392;0.732;0.8029999999999999;0.0;0.402;-2.006;0.0368;0.46399999999999997;125.992;2ZT3bnHPOdErwCLdP5aHqR-sep-1wsoV3RXPkxVz3PwsNRI5K;0;0;2;2016-08-01;2016;8;3;summer
queen;son dam bi;the queen (the 3rd mini album sondambi...;플레디스;nhn벅스;1;1;1;0;False;01rbUSC1tcjttA8akwS7xd;album;196355;False;0.11800000000000001;0.7340000000000001;0.888;8.43e-05;0.313;-2.458;0.0618;0.444;125.97200000000001;3cCbcs6r1Lma7MfEjyfCGU;0;0;2;2010-07-01;2010;7;3;summer
unlucky;iu;love poem;카카오 m;카카오 m;1;0;0;0;False;1jsY6pQeNaEConZWGau1L4;single;231133;False;0.836;0.528;0.48200000000000004;0.0;0.136;-3.6889999999999996;0.0444;0.505;169.907;3HqSLMAZ3g3d5poNaI7GOU;0;0;2;2019-11-01;2019;11;4;holiday
yayaya;t-ara;vol.2 temptastic (ep);코어컨텐츠미디어;stone music entertainment;1;1;0;0;False;0goBEgbizamtyMICbMhwqG;single;208653;False;0.008579999999999999;0.742;0.96;0.00131;0.308;-2.0069999999999997;0.0756;0.723;130.951;1R52cwGf75yTf7I3Q0Irf8;0;0;2;2010-12-01;2010;12;4;holiday
~42 (feat. 샘김 (sam kim) & 에스나 (esna));primary-sep-sam kim-sep-esna;신인류;아메바컬쳐;카카오 m;0;0;0;0;True;0tySz1g5jxMXH04cUXEA89;album;213586;False;0.29100000000000004;0.725;0.687;0.0;0.667;-2.6639999999999997;0.0787;0.588;91.977;4QDcs3XrA8uHUZ7Xt9Ytep-sep-4BBN286rBKyCWsSPq2cxYO-sep-2jfAd4z4B5dR7yhhwTOulQ;0;0;1;2017-08-01;2017;8;3;summer
ㅋ;kiha & the faces;내 사랑에 노련한 사람이 어딨나요;두루두루amc;카카오 m;0;0;0;0;False;006yPOgz4R3ukyefLPciOC;album;186776;False;0.431;0.787;0.568;7.11e-05;0.0176;-6.006;0.34700000000000003;0.8759999999999999;151.923;0oN8IZB1C3lY1ABKwJOu1I;0;0;1;2016-06-01;2016;6;2;summer
